Recursive,Memoization,Dynamic
7.152557373046875e-07,1.5735626220703125e-05,8.344650268554688e-06
3.0994415283203125e-05,6.651878356933594e-05,1.6450881958007812e-05
8.296966552734375e-05,4.9114227294921875e-05,3.337860107421875e-05
0.00021529197692871094,8.606910705566406e-05,6.127357482910156e-05
0.0009136199951171875,0.00013947486877441406,0.00017905235290527344
0.004808664321899414,0.00020956993103027344,0.00015425682067871094
0.02637791633605957,0.0003380775451660156,0.0002570152282714844
0.138671875,0.00041747093200683594,0.000308990478515625
0.7720410823822021,0.0005807876586914062,0.00040984153747558594
4.704468250274658,0.0007317066192626953,0.0005452632904052734
24.7338228225708,0.0008652210235595703,0.0006620883941650391
138.80255889892578,0.001081228256225586,0.0007624626159667969
0,0.003312349319458008,0.0033864974975585938
0,0.02093052864074707,0.016759395599365234
0,0.08505415916442871,0.06625032424926758
0,0.3391551971435547,0.26108503341674805
0,2.25630259513855,1.6722674369812012
0,9.379464864730835,6.809403657913208
